director,link,director_url,location,gender
Ethan Coen,https://www.imdb.com/search/name/?name=Ethan%20Coen,/name/nm0001053/?ref_=sr_t_1,"Minneapolis, Minnesota, USA",Male
Evan Goldberg,https://www.imdb.com/search/name/?name=Evan%20Goldberg,/name/nm1698571/?ref_=sr_t_1,"Vancouver, British Columbia, Canada",Unknown
Eytan Fox,https://www.imdb.com/search/name/?name=Eytan%20Fox,/name/nm0297202/?ref_=sr_t_1,"New York City, New York, USA",Unknown
Fabián Bielinsky,https://www.imdb.com/search/name/?name=Fabián%20Bielinsky,/name/nm0081433/?ref_=sr_t_1,"Buenos Aires, Argentina",Male
Fatih Akin,https://www.imdb.com/search/name/?name=Fatih%20Akin,/name/nm0015359/?ref_=sr_t_1,"Hamburg, West Germany",Male
Fernando Meirelles,https://www.imdb.com/search/name/?name=Fernando%20Meirelles,/name/nm0576987/?ref_=sr_t_1,"São Paulo, São Paulo, Brazil",Male
Florian Henckel von Donnersmarck,https://www.imdb.com/search/name/?name=Florian%20Henckel%20von%20Donnersmarck,/name/nm0003697/?ref_=sr_t_1,"Cologne, North Rhine-Westphalia, Germany",Male
Francis Ford Coppola,https://www.imdb.com/search/name/?name=Francis%20Ford%20Coppola,/name/nm0000338/?ref_=sr_t_1,"Detroit, Michigan, USA",Unknown
Franco Piavoli,https://www.imdb.com/search/name/?name=Franco%20Piavoli,/name/nm0681311/?ref_=sr_t_1,"Pozzolengo, Lombardy, Italy",Male
François Ozon,https://www.imdb.com/search/name/?name=François%20Ozon,/name/nm0654830/?ref_=sr_t_1,"Paris, France",Male
Frederick Wiseman,https://www.imdb.com/search/name/?name=Frederick%20Wiseman,/name/nm0936464/?ref_=sr_t_1,"Boston, Massachusetts, USA",Male
Gabriela Pichler,https://www.imdb.com/search/name/?name=Gabriela%20Pichler,/name/nm3307527/?ref_=sr_t_1,"Huddinge församling, Huddinge, Södermanland, Sweden",Female
Gareth Edwards,https://www.imdb.com/search/name/?name=Gareth%20Edwards,/name/nm2284484/?ref_=sr_t_1,"Nuneaton, Warwickshire, England, UK",Male
Gaspar Noé,https://www.imdb.com/search/name/?name=Gaspar%20Noé,/name/nm0637615/?ref_=sr_t_1,"Buenos Aires, Argentina",Male
George Clooney,https://www.imdb.com/search/name/?name=George%20Clooney,/name/nm0000123/?ref_=sr_t_1,"Lexington, Kentucky, USA",Unknown
George Lucas,https://www.imdb.com/search/name/?name=George%20Lucas,/name/nm0000184/?ref_=sr_t_1,"Modesto, California, USA",Male
George Miller,https://www.imdb.com/search/name/?name=George%20Miller,/name/nm0004306/?ref_=sr_t_1,"Chinchilla, Queensland, Australia",Unknown
Gerhard Benedikt Friedl,https://www.imdb.com/search/name/?name=Gerhard%20Benedikt%20Friedl,/name/nm0295068/?ref_=sr_t_1,"Bad Aussee, Styria, Austria",Male
Gina Prince-Bythewood,https://www.imdb.com/search/name/?name=Gina%20Prince-Bythewood,/name/nm0697656/?ref_=sr_t_1,,Female
Greg Mottola,https://www.imdb.com/search/name/?name=Greg%20Mottola,/name/nm0609549/?ref_=sr_t_1,"Dix Hills, Long Island, New York, USA",Male
Guillermo Del Toro,https://www.imdb.com/search/name/?name=Guillermo%20Del%20Toro,/name/nm0868219/?ref_=sr_t_1,"Guadalajara, Jalisco, Mexico",Unknown
Gurinder Chadha,https://www.imdb.com/search/name/?name=Gurinder%20Chadha,/name/nm0149446/?ref_=sr_t_1,"Nairobi, Kenya",Female
Gus Van Sant,https://www.imdb.com/search/name/?name=Gus%20Van%20Sant,/name/nm0001814/?ref_=sr_t_1,"Louisville, Kentucky, USA",Unknown
Guy Davidi,https://www.imdb.com/search/name/?name=Guy%20Davidi,/name/nm1519079/?ref_=sr_t_1,"Jaffa, Tel Aviv, Israel",Male
Guy Maddin,https://www.imdb.com/search/name/?name=Guy%20Maddin,/name/nm0534665/?ref_=sr_t_1,"Winnipeg, Manitoba, Canada",Unknown
Hany Abu-Assad,https://www.imdb.com/search/name/?name=Hany%20Abu-Assad,/name/nm0009463/?ref_=sr_t_1,"Nazareth, Israel",Unknown
Harmony Korine,https://www.imdb.com/search/name/?name=Harmony%20Korine,/name/nm0005101/?ref_=sr_t_1,"Bolinas, California, USA",Male
Hayao Miyazaki,https://www.imdb.com/search/name/?name=Hayao%20Miyazaki,/name/nm0594503/?ref_=sr_t_1,"Tokyo, Japan",Unknown
Hirokazu Koreeda,https://www.imdb.com/search/name/?name=Hirokazu%20Koreeda,/name/nm0466153/?ref_=sr_t_1,"Tokyo, Japan",Unknown
Hong Sang-soo,https://www.imdb.com/search/name/?name=Hong%20Sang-soo,/name/nm0393254/?ref_=sr_t_1,"Seoul, Korea",Male
Hou Hsiao-hsien,https://www.imdb.com/search/name/?name=Hou%20Hsiao-hsien,/name/nm0396284/?ref_=sr_t_1,"Meixian, Guangdong, China",Unknown
Ingmar Bergman,https://www.imdb.com/search/name/?name=Ingmar%20Bergman,/name/nm0000005/?ref_=sr_t_1,"Uppsala, Uppsala län, Sweden",Unknown
J. A. Bayona,https://www.imdb.com/search/name/?name=J.%20A.%20Bayona,https://slyb.app.link/vtz1COZnXAb,,Unknown
J. J. Abrams,https://www.imdb.com/search/name/?name=J.%20J.%20Abrams,/name/nm9851140/?ref_=sr_t_1,,Unknown
Jack Neo,https://www.imdb.com/search/name/?name=Jack%20Neo,/name/nm0626090/?ref_=sr_t_1,,Male
Jacob Krupnick,https://www.imdb.com/search/name/?name=Jacob%20Krupnick,/name/nm4937026/?ref_=sr_t_1,,Unknown
Jacques Audiard,https://www.imdb.com/search/name/?name=Jacques%20Audiard,/name/nm0002191/?ref_=sr_t_1,"Paris, France",Male
Jacques Rivette,https://www.imdb.com/search/name/?name=Jacques%20Rivette,/name/nm0729626/?ref_=sr_t_1,"Rouen, Seine-Inférieure [now Seine-Maritime], France",Unknown
Jafar Panahi,https://www.imdb.com/search/name/?name=Jafar%20Panahi,/name/nm0070159/?ref_=sr_t_1,"Mianeh, Azarbaijan Province, Iran",Unknown
James Cameron,https://www.imdb.com/search/name/?name=James%20Cameron,/name/nm0000116/?ref_=sr_t_1,"Kapuskasing, Ontario, Canada",Male
James Gray,https://www.imdb.com/search/name/?name=James%20Gray,/name/nm0336695/?ref_=sr_t_1,"New York City, New York, USA",Unknown
James Marsch,https://www.imdb.com/search/name/?name=James%20Marsch,https://slyb.app.link/vtz1COZnXAb,,Unknown
James Marsh,https://www.imdb.com/search/name/?name=James%20Marsh,/name/nm1016428/?ref_=sr_t_1,"Truro, Cornwall, England, UK",Male
Jan Pinkava,https://www.imdb.com/search/name/?name=Jan%20Pinkava,/name/nm0684342/?ref_=sr_t_1,"Prague, Czechoslovakia [now Czech Republic]",Male
Jane Campion,https://www.imdb.com/search/name/?name=Jane%20Campion,/name/nm0001005/?ref_=sr_t_1,"Wellington, New Zealand",Female
Janie Geiser,https://www.imdb.com/search/name/?name=Janie%20Geiser,/name/nm0312026/?ref_=sr_t_1,,Female
Jason Reitman,https://www.imdb.com/search/name/?name=Jason%20Reitman,/name/nm0718646/?ref_=sr_t_1,"Montreal, Quebec, Canada",Male
Jason Silverman,https://www.imdb.com/search/name/?name=Jason%20Silverman,/name/nm0798918/?ref_=sr_t_1,,Male
Jean-Charles Fitoussi,https://www.imdb.com/search/name/?name=Jean-Charles%20Fitoussi,/name/nm0280083/?ref_=sr_t_1,"Tours, France",Male
Jean-Claude Brisseau,https://www.imdb.com/search/name/?name=Jean-Claude%20Brisseau,/name/nm0109885/?ref_=sr_t_1,"Paris, France",Male
Jean-Gabriel Périot,https://www.imdb.com/search/name/?name=Jean-Gabriel%20Périot,/name/nm1516014/?ref_=sr_t_1,,Male
Jean-Luc Godard,https://www.imdb.com/search/name/?name=Jean-Luc%20Godard,/name/nm0000419/?ref_=sr_t_1,"Paris, France",Male
Jean-Marc Vallée,https://www.imdb.com/search/name/?name=Jean-Marc%20Vallée,/name/nm0885249/?ref_=sr_t_1,"Montreal, Quebec, Canada",Male
